毛泽东	61678
胡锦涛	58429
普京	49718
温家宝	48611
赵本山	43172
马英九	39748
孙子	35988
唐师曾	34352
陆军	33698
郭晶晶	32920
约翰	30339
元和	30207
周恩来	29617
林彪	25916
田间	25541
庄则栋	25496
高昂	25250
希拉里	25169
李鹏	23608
克林顿	22089
潘基文	21464
雷锋	21162
孔子	20933
汪洋	19675
邓小平	19616
诺贝尔	19013
布什	18703
穆罕默德	18331
默克尔	18272
威廉	16117
乔治	16047
王毅	15544
罗马	15286
罗伯特	14633
迈克尔	14508
陈水扁	14173
马克	13791
詹姆斯	13757
米歇尔	12581
蒋介石	12454
亚历山大	12426
鲁迅	12366
张扬	12199
戴维	11952
孙中山	11919
保罗	11731
金正日	11351
毛岸英	11291
奥斯卡	11242
马丁	10422
李斌	10290
光绪	10210
布朗	10130
盖茨	10107
比尔	10099
李强	9897
彼得	9895
李娜	9838
马云	9832
福布斯	9794
康熙	9760
艾哈迈德	9717
福特	9586
苏醒	9569
嫦娥	9317
白求恩	9084
孙俪	8710
大卫	8613
王刚	8505
托马斯	8396
袁隆平	8258
爱德华	8254
杨开慧	8246
王磊	8154
张杰	8094
杜鹃	8038
汉武帝	7975
李云迪	7967
周强	7950
朱元璋	7939
郁达夫	7935
阿基诺	7898
弗拉基米尔	7888
陈云	7684
姚明	7647
王伟	7640
乾隆	7477
胡适	7359
唐太宗	7325
纪晓岚	7318
拉登	7313
杨柳	7303
理查德	7278
谢尔盖	7205
袁世凯	7203
刘涛	7186
肯尼迪	7156
李伟	7136
周杰伦	7065
李长春	7049
司马炎	7016
成吉思汗	6983
刘伟	6977
宋徽宗	6876
卡特	6799
老子	6683
查韦斯	6672
朱熹	6629
柴静	6600
舒畅	6581
彭丽媛	6575
岳飞	6546
管子	6539
米芾	6517
菲利普	6515
齐景公	6505
金日成	6404
溥仪	6392
张勇	6331
李明	6325
林立果	6294
文静	6265
江青	6209
约翰逊	6169
李静	6156
郭德纲	6125
史密斯	6106
江泽民	6094
赵匡胤	6089
王斌	6084
李军	6049
谢长廷	6027
刘勇	5985
高远	5951
谭嗣同	5941
安德鲁	5940
陈竺	5853
张明	5753
刘邦	5722
约瑟夫	5717
张斌	5707
梁实秋	5699
安南	5683
耿飚	5590
杜马	5588
樱桃	5541
王敏	5530
刘翔	5441
多尔衮	5397
张学良	5355
焦裕禄	5347
戴维斯	5321
许昌	5320
王小山	5317
大路	5253
丹尼尔	5240
麦田	5236
李涛	5181
贝卢斯科尼	5159
张辉	5158
刘德华	5086
艾伦	5075
杨洁	5059
卡斯特罗	5037
钱时	5030
苗圃	4960
冯小刚	4933
成龙	4926
里根	4898
陈琳	4839
诸葛亮	4831
王涛	4829
吕后	4808
陶冶	4755
张艺谋	4728
熊丙奇	4723
张强	4658
晏子	4632
王鹏	4585
李健	4583
李辉	4554
李登辉	4468
尼古拉	4416
亨利	4357
李宁	4346
安东尼	4342
汤姆	4325
经纬	4293
阎锡山	4258
叶青	4250
武威	4240
萨达姆	4235
圣保罗	4233
摩根	4208
马克思	4207
刘敏	4194
王宁	4189
李琳	4149
赖斯	4148
华国锋	4137
米勒	4137
杰克逊	4133
张掖	4132
刘胡兰	4110
李丹	4109
托尼	4096
史蒂夫	4059
哈里	4058
白岩松	4057
刘杰	4029
尼克松	4015
布莱尔	3983
弗朗索瓦	3979
李白	3944
张毅	3930
斯蒂芬	3929
张莉	3924
张亮	3911
陈菊	3884
王超	3882
朱德	3873
林肯	3872
张涛	3865
马超	3841
李亮	3833
安德烈	3832
张旭	3830
司马相如	3756
宋庆龄	3748
王辉	3732
李嘉诚	3728
陈冲	3683
赵薇	3648
王静	3621
路易斯	3619
范冰冰	3606
张宁	3571
郑和	3554
安妮	3547
丹尼斯	3538
张静	3538
陈亮	3511
钱学森	3505
张华	3472
屈原	3408
王芳	3402
王菲	3398
杨毅	3397
海宁	3372
金龙	3371
曾荫权	3369
王欣	3360
高桥	3326
阿朵	3309
卡恩	3298
韩寒	3284
刘颖	3279
向县	3229
张宇	3226
李阳	3222
卡洛斯	3219
刘震	3209
黄兴	3194
陈斌	3179
凯文	3177
孟子	3168
公明	3168
王楠	3164
格林	3161
曼苏尔	3155
默多克	3150
希特勒	3146
胡志明	3140
杨洋	3115
崔永元	3109
张波	3109
章子怡	3104
曹操	3092
弗兰克	3091
戴高乐	3090
张江	3085
陈涛	3063
泰勒	3059
罗斯福	3057
黄睿	3038
陈毅	3027
杨磊	2964
基辛格	2964
赛义德	2963
李兵	2962
徐超	2952
王安石	2939
李莉	2930
永乐	2913
陈明	2907
爱因斯坦	2888
张超	2868
濮阳	2839
王平	2836
金庸	2834
贺龙	2819
戴安娜	2819
列宁	2804
黄晓明	2802
杨帆	2800
黄帝	2758
杜甫	2749
阿波罗	2718
何塞	2715
李林	2705
刘少奇	2699
鲁尼	2689
李彦宏	2681
刘欢	2679
秦始皇	2678
齐白石	2678
莎士比亚	2664
威尔逊	2654
撒切尔	2639
巴拉克	2635
马化腾	2629
王姝	2607
陈翔	2600
丁宁	2597
胡润	2567
张洁	2557
梅兰芳	2555
戴尔	2551
陈寅恪	2541
张燕	2540
徐悲鸿	2540
同治	2537
李光耀	2535
摩尔	2532
王威	2523
梁启超	2521
弗格森	2518
皮埃尔	2511
陈平	2503
李东生	2501
王石	2500
哈利	2475
沃伦	2463
威廉姆斯	2462
劳伦斯	2456
张乐	2445
建安	2441
崔天凯	2435
达芬奇	2411
董建华	2406
迟福林	2402
王莹	2395
吉米	2377
刘超	2369
杨勇	2366
许琛	2356
林毅夫	2327
马修	2323
李安	2280
施密特	2280
慈禧太后	2278
祖逖	2277
胡安	2270
卢武铉	2267
杨松	2265
丹阳	2253
姚晨	2250
李红	2249
乔丹	2232
玛格丽特	2226
张俊	2211
刘建	2210
高飞	2209
汪峰	2208
王浩	2203
刘娜	2197
马三立	2181
李连杰	2177
郭敬明	2172
朱镕基	2170
杨辉	2167
欧文	2160
斯诺	2158
安迪	2144
白洁	2131
河野	2120
茅盾	2103
道光	2096
罗杰	2091
刘平	2079
张大千	2077
斯大林	2068
杨阳	2059
白杨	2057
布莱恩	2052
孙坚	2048
李波	2045
小泉	2041
婷婷	2030
林志玲	2027
厉以宁	2020
怀特	2013
加西亚	2008
马伦	1996
刘星	1995
丘吉尔	1983
王婧	1982
牛顿	1979
李宇春	1978
毕加索	1977
劳拉	1971
老舍	1965
杨林	1955
贝克汉姆	1953
郭沫若	1948
罗纳德	1944
杨澜	1934
李冰冰	1932
马里奥	1928
张英	1922
陈波	1912
罗兰	1908
周迅	1903
雍正	1897
耿直	1891
拉塞尔	1883
张立群	1874
李小龙	1871
嘉庆	1870
白鹤	1868
炎帝	1866
黄勇	1866
拿破仑	1862
王婷婷	1848
周星驰	1848
方舟子	1846
